GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mtnsj,site.mtnsj.utils,MonetaryFormat,572,586,68,36,76,90,52,23,12,11
mtnsj,site.mtnsj.utils,BriefLogFormatter,78,35,3,1,19,11,4,4,2,4
mtnsj,site.mtnsj.utils,BaseTaggableObject,56,8,7,1,14,3,7,2,3,2
mtnsj,site.mtnsj.utils,DaemonThreadFactory,26,0,2,0,10,0,4,0,3,0
mtnsj,site.mtnsj.utils,ExponentialBackoff,15,46,0,0,1,12,1,5,1,5
mtnsj,site.mtnsj.utils,BtcFormat.Builder.Variant,58,0,0,0,5,0,5,0,5,0
mtnsj,site.mtnsj.utils,BtcFormat.Builder.Variant.new BtcFormat.Builder.Variant() {...},14,0,0,0,2,0,2,0,2,0
mtnsj,site.mtnsj.utils,BtcAutoFormat.Style,38,0,0,0,3,0,4,0,4,0
mtnsj,site.mtnsj.utils,BtcAutoFormat,152,0,16,0,32,0,14,0,6,0
mtnsj,site.mtnsj.utils,BlockFileLoader,323,0,42,0,80,0,28,0,7,0
mtnsj,site.mtnsj.utils,BtcFormat.ScaleMatcher,12,0,0,0,1,0,1,0,1,0
mtnsj,site.mtnsj.utils,VersionTally,4,119,1,13,1,28,2,10,1,4
mtnsj,site.mtnsj.utils,ContextPropagatingThreadFactory.new Runnable() {...},8,20,0,0,3,5,0,2,0,2
mtnsj,site.mtnsj.utils,Fiat,298,0,26,0,45,0,40,0,27,0
mtnsj,site.mtnsj.utils,BtcFormat.Builder,216,0,22,0,46,0,23,0,12,0
mtnsj,site.mtnsj.utils,ExponentialBackoff.Params,14,30,2,2,5,7,3,1,1,1
mtnsj,site.mtnsj.utils,ContextPropagatingThreadFactory,3,45,1,1,1,14,1,4,0,4
mtnsj,site.mtnsj.utils,ListenerRegistration,1,44,2,6,1,11,2,4,0,2
mtnsj,site.mtnsj.utils,BtcFixedFormat,296,0,24,0,36,0,27,0,11,0
mtnsj,site.mtnsj.utils,Threading,16,45,1,1,7,16,5,5,4,5
